"Variable name","Variable label"
"qb2_1total","Q.B2_1TOTAL 3 month Spend - Video Games total"
"qb2_1ai","Q.B2_1Ai 3 month Spend - Video Games bought or rented on Disc or Cartridge"
"qb2_1aiii","Q.B2_1Aiii 3 month Spend - Video Games merchandise e.g. Tshirts, Mugs, Posters"
"qb2_1aiia","Q.B2_1Aii 3 month Spend - Video Games downloaded or accessed"
"qb2_2a","Q.B2_2A Frequency of downloading - Video Games"
"qb2_2b","Q.B2_2B Frequency of accessing - Video Games"
"qb2_2c","Q.B2_2C Frequency of sharing - Video Games"
"qb2_3total","Q.B2_3Total Number - Video Games total in the last 3 months"
"qb2_3a","Q.B2_3A Number - Video Games downloaded in the last 3 months"
"qb2_3b","Q.B2_3B Number - Video Games accessed in the last 3 months"
"qb2_3ab","Q.B2_3A/B Number - Video Games downloaded or accessed in the last 3 months"
"qb2_5a","Q.B2_5A Number - Video Games downloaded/accessed in the last 3 months - Paid for"
"qb2_5a_pro","Q.B2_5A Proportion - Video Games downloaded/accessed in the last 3 months paid for"
"qb2_5ai","Q.B2_5Ai Number - Video Games downloaded/accessed for free in the last 3 months"
"qb2_5ai_pro","Q.B2_5Ai Proportion - Video Games downloaded/accessed for free in the last 3 months"
"qb2_6","Q.B2_6 Number - paid Video Games previously downloaded or accessed for free in the last 3 months"
"qb2_6_pro","Q.B2_6 Proportion - paid Video Games previously downloaded or accessed for free"
"qb2_5b","Q.B2_5B Number - Video Games downloaded/accessed in the last 3 months already owned on disc or cartridge"
"qb2_5b_pro","Q.B2_5B Proportion - Video games downloaded/accessed in the last 3 months already owned on disc or cartridge"
"qb2_7","Q.B2_7 Number - free Video Games downloaded or accessed legally in the last 3 months"
"qb2_7_t","Q.B2_7_T Number - Total Video Games downloaded or accessed video games legally in the last 3 months"
"qb2_7_pro_a","Q.B2_7 Proportion - free Video Games downloaded or accessed legally in the last 3 months"
"qb2_7_pro_b","Q.B2_7 Proportion - Total Video Games downloaded or accessed legally in the last 3 months"
"qb2_3c","Q.B2_3C Number - Video Games shared in the last 3 months"
"qb2_3d","Q.B2_3D Number - Video Games bought or rented on disc or cartridge in the last 3 months"
"qb3_1total","Q.B3_1TOTAL 3 month Spend - Computer Software total"
"qb3_1ai","Q.B3_1Ai 3 month Spend - Computer Software on disc or Cartridge"
"qb3_1aiia","Q.B3_1Aii 3 month Spend - Computer Software downloaded or accessed"
"qb3_2a","Q.B3_2A Frequency of downloading - Computer Software"
"qb3_2b","Q.B3_2B Frequency of accessing - Computer Software"
"qb3_2c","Q.B3_2C Frequency of sharing - Computer Software"
"qb3_3total","Q.B3_3Total Number - Computer Software total in the last 3 months"
"qb3_3a","Q.B3_3A Number - Computer Software downloaded in the last 3 months"
"qb3_3b","Q.B3_3B Number - Computer Software accessed in the last 3 months"
"qb3_3ab","Q.B3_3A/B Number - Computer Software downloaded or accessed in the last 3 months"
"qb3_5a","Q.B3_5A Number - Computer Software downloaded/accessed in the last 3 months - Paid for"
"qb3_5a_pro","Q.B3_5A Proportion - Computer software downloaded/accessed in the last 3 months paid for"
"qb3_5ai","Q.B3_5Ai Number - Computer Software downloaded/accessed for free in the last 3 months"
"qb3_5ai_pro","Q.B3_5Ai Proportion - Computer software downloaded/accessed for free in the last 3 months"
"qb3_6","Q.B3_6 Number - paid Computer Software previously downloaded or accessed for free in the last 3 months"
"qb3_6_pro","Q.B3_6 Proportion - paid Computer software previously downloaded or accessed for free"
"qb3_5b","Q.B3_5B Number - Computer Software downloaded/accessed in the last 3 months already owned on disc"
"qb3_5b_pro","Q.B3_5B Proportion - Computer software downloaded/accessed in the last 3 months already owned on disc"
"qb3_7","Q.B3_7 Number - free Computer Software downloaded or accessed legally in the last 3 months"
"qb3_7_t","Q.B3_7_T Number - Total Computer Software downloaded or accessed computer software legally in the last 3 months"
"qb3_7_pro_a","Q.B3_7 Proportion - free Computer Software downloaded or accessed legally in the last 3 months"
"qb3_7_pro_b","Q.B3_7 Proportion - Total Computer Software downloaded or accessed legally in the last 3 months"
"qb3_3c","Q.B3_3C Number - Computer Software shared in the last 3 months"
"qb3_3d","Q.B3_3D Number - Computer Software bought on disc or cartridge in the last 3 months"
"qb4_1total","Q.B4_1TOTAL 3 month Spend - Films total"
"qb4_1other","Q.B4_1OTHER 3 month Spend - Films other"
"qb4_1ai","Q.B4_1Ai 3 month Spend - Films watched at the cinema"
"qb4_1aii","Q.B4_1Aii 3 month Spend - Rented films on DVD, Bluray, or VHS"
"qb4_1aiii","Q.B4_1Aiii 3 month Spend - Films purchased on DVD, Bluray, or VHS"
"qb4_1avii","Q.B4_1Avii 3 month Spend - Films bought or rented on DVD, Bluray or VHS"
"qb4_1aviii","Q.B4_1Aviii 3 month Spend - Films merchandise e.g. T-shirts, Mugs, Posters"
"qb4_1aiv","Q.B4_1Aiv 3 month Spend - Online (full length) films bought and streamed/accessed or downloaded individually"
"qb4_1avi","Q.B4_1Avi 3 month Spend - Films purchased individually through Pay TV service via Pay-per-view"
"qb4_1av","Q.B4_1Av 3 month Spend - Online film subscriptions"
"qb4_2a","Q.B4_2A Frequency of downloading - Films"
"qb4_2b","Q.B4_2B Frequency of streaming - Films"
"qb4_2c","Q.B4_2C Frequency of sharing - Films"
"qb4_3total","Q.B4_3Total Number - Films total in the last 3 months"
"qb4_3a","Q.B4_3A Number - Films downloaded in the last 3 months"
"qb4_3b","Q.B4_3B Number - Films streamed in the last 3 months"
"qb4_3ab","Q.B4_3A/B Number - Films downloaded or streamed in the last 3 months"
"qb4_5a","Q.B4_5A Number - Films downloaded/streamed in the last 3 months - Paid for"
"qb4_5a_pro","Q.B4_5A Proportion - Films downloaded/streamed in the last 3 months paid for"
"qb4_5ai","Q.B4_5Ai Number - Films downloaded/streamed for free in the last 3 months"
